Secuencia,Tipo Dispositivo,Grupo,Modelo equipo,Placa,MSISDN,Alias,IMEI,Latitud,Longitud,Hora de última transmisión,Estado de transmisión,Estado de ignición,% Batería,Odómetro (Km)
1,Automotor,PATRULLA RURAL,Tracker X2,IX334GN,549201736558,10002,456132454564723,-39.385115,-60.871529,"sábado, 05 de septiembre de 2026 10:49:08",En línea,Apagado,75,119077
2,Automotor,CAMINERA,Tracker X2,TJ375UM,549668886087,10003,755282864893217,-33.040054,-65.174974,"domingo, 09 de agosto de 2026 09:03:35",Apagado o fuera de cobertura,Apagado,2,152449
3,Automotor,CAMINERA,Tracker X2,AG400RJ,,10004,037329412538166,-31.666857,-63.841142,"domingo, 06 de septiembre de 2026 11:34:10",En línea,Apagado,68,165857
4,Automotor,CAPITAL,Starlink ER-01,CM281TR,549407524273,10005,263586399679370,-38.721547,-66.202425,"lunes, 07 de septiembre de 2026 05:20:44",En línea,Apagado,36,379358
5,Automotor,PATRULLA RURAL,Tracker X2,JD492OO,549593280848,10006,849756833637158,-32.986844,-66.028047,"miércoles, 09 de septiembre de 2026 03:12:26",En línea,Encendido,94,389229
6,Automotor,CAPITAL,Tracker X2,SR772XN,549840563098,SIN ASIGNAR,072779478192649,-37.494635,-64.000057,"martes, 08 de septiembre de 2026 18:38:29",En línea,Encendido,25,368287
7,Automotor,PATRULLA RURAL,Tracker X1,IZ508BS,549001486829,5407433,039364028243670,-36.012065,-65.222003,"martes, 08 de septiembre de 2026 17:25:34",En línea,Apagado,80,282020
8,Automotor,INTERIOR,Starlink ER-01,LS425RX,549091425657,10010,371720135154908,-35.219864,-60.382834,"viernes, 04 de septiembre de 2026 12:31:04",En línea,Apagado,53,494020
9,Automotor,INTERIOR,Tracker X1,VP172XM,549459104834,10011,617822507664150,-36.142653,-66.666357,"martes, 08 de septiembre de 2026 20:04:32",En línea,Apagado,49,437089
10,Automotor,PATRULLA RURAL,Tracker X1,CZ010PQ,549842856260,10012,671690525516093,-34.267883,-60.883742,"sábado, 05 de septiembre de 2026 03:15:22",En línea,Apagado,25,278373
11,Automotor,PATRULLA RURAL,Starlink ER-01,GY604FD,549510100594,10013,604264917588535,-34.700577,-63.531459,"lunes, 07 de septiembre de 2026 02:29:32",En línea,Encendido,51,495899
12,Automotor,CAPITAL,Starlink ER-01,GZ672SO,549117475276,10014,847076926509896,-35.540483,-63.290109,"viernes, 04 de septiembre de 2026 15:04:57",En línea,Encendido,100,151279
13,Automotor,CAMINERA,Tracker X2,LX575LE,549914527041,10016,423282672774430,-37.707973,-59.814522,"domingo, 06 de septiembre de 2026 14:24:03",En línea,Encendido,31,74268
14,Automotor,PATRULLA RURAL,Tracker X2,ZO073RM,549253044759,10017,305301462020523,-36.148587,-67.713383,"sábado, 05 de septiembre de 2026 07:44:30",En línea,Encendido,60,359543
15,Automotor,CAMINERA,Tracker X1,RS270AD,549233250487,10018,451418619757894,-30.597764,-59.363004,"miércoles, 09 de septiembre de 2026 02:46:23",En línea,Encendido,87,260592
16,Automotor,PATRULLA RURAL,Starlink ER-01,XQ002XR,549680815032,10019,363438255392372,-32.582497,-67.26854,"martes, 28 de julio de 2026 18:44:54",Apagado o fuera de cobertura,Apagado,38,153671
17,Automotor,PATRULLA RURAL,Tracker X1,QA260FN,549048230036,10022,091427963447021,-34.396559,-65.828082,"martes, 08 de septiembre de 2026 03:18:41",En línea,Apagado,21,322447
18,Automotor,PATRULLA RURAL,Tracker X1,ND789AK,549694401896,10023,120384200784060,-37.454589,-67.450283,"miércoles, 09 de septiembre de 2026 08:04:48",En línea,Apagado,71,295382
19,Automotor,PATRULLA RURAL,Tracker X2,LF399TN,549310800660,10024,777770053859540,-33.588158,-62.998173,"lunes, 27 de julio de 2026 09:44:39",Apagado o fuera de cobertura,Apagado,13,186335
20,Automotor,CAMINERA,Tracker X2,BR099FU,549584519190,10025,415249329432279,-39.094581,-66.983967,"miércoles, 09 de septiembre de 2026 16:15:27",En línea,Encendido,39,32804
21,Automotor,INTERIOR,Starlink ER-01,IG716OZ,549578950357,10026,712874253934720,-32.172985,-64.163971,"viernes, 04 de septiembre de 2026 12:23:50",En línea,Encendido,41,154207
22,Automotor,CAMINERA,Starlink ER-01,YT790PQ,549603194059,10027,809593329417242,-39.167684,-59.775885,"sábado, 22 de agosto de 2026 11:12:52",Apagado o fuera de cobertura,Apagado,24,98915
23,Automotor,CAMINERA,Tracker X1,RZ593ZU,549789654448,3375861,212740423741375,-38.579826,-59.63337,"sábado, 29 de agosto de 2026 01:20:36",Apagado o fuera de cobertura,Apagado,40,446381
24,Automotor,CAMINERA,Tracker X2,BZ021JT,549467079054,0049671,260100301064690,-30.776141,-65.079565,"miércoles, 17 de junio de 2026 05:57:19",Apagado o fuera de cobertura,Apagado,40,30633
25,Automotor,PATRULLA RURAL,Starlink ER-01,AX394GU,549048293273,10030,534784935175789,-32.436016,-64.619475,"martes, 08 de septiembre de 2026 09:14:55",En línea,Apagado,70,286084
26,Automotor,PATRULLA RURAL,Tracker X1,PH203RA,549713707087,1440726,139089012098143,-31.903627,-63.680364,"lunes, 24 de agosto de 2026 10:18:23",Apagado o fuera de cobertura,Apagado,13,319827
27,Automotor,INTERIOR,Starlink ER-01,GF964MR,549037529447,10033,373715775125997,-32.566392,-65.939072,"domingo, 06 de septiembre de 2026 08:00:29",En línea,Apagado,65,492087
28,Automotor,PATRULLA RURAL,Starlink ER-01,PZ563MG,549942016022,10034,429800866734603,-35.104874,-59.806471,"lunes, 29 de junio de 2026 06:04:34",Apagado o fuera de cobertura,Apagado,21,39010
29,Automotor,CAMINERA,Tracker X1,LA584KG,549485779042,10035,436842177234240,-36.945577,-62.606781,"miércoles, 15 de julio de 2026 08:21:28",Apagado o fuera de cobertura,Apagado,2,467024
30,Automotor,INTERIOR,Tracker X2,JM777HP,549587867113,3739764,844468286441947,-35.615558,-63.086975,"martes, 08 de septiembre de 2026 22:00:11",En línea,Apagado,67,211010
31,Automotor,CAMINERA,Tracker X2,SG767VQ,549220465986,10037,037958462970994,-38.174741,-67.790715,"martes, 08 de septiembre de 2026 07:59:04",En línea,Encendido,77,190650
32,Automotor,CAMINERA,Starlink ER-01,PY877AP,549785255654,10038,097025610030881,-31.796258,-58.478874,"lunes, 03 de agosto de 2026 07:55:28",Apagado o fuera de cobertura,Apagado,11,187432
33,Automotor,PATRULLA RURAL,Tracker X2,XH141WH,549444323384,10039,860279260571772,-34.074801,-63.109662,"viernes, 04 de septiembre de 2026 06:25:01",En línea,Apagado,54,175978
34,Automotor,CAMINERA,Tracker X1,AK776GK,,10041,033381850438544,-39.293274,-58.724129,"sábado, 05 de septiembre de 2026 00:23:16",En línea,Apagado,85,56151
35,Automotor,CAMINERA,Tracker X1,OH915XU,549691663774,10042,886452719932590,-35.97381,-64.932407,"miércoles, 08 de julio de 2026 05:05:42",Apagado o fuera de cobertura,Apagado,32,161892
36,Automotor,PATRULLA RURAL,Tracker X1,JG735SR,549144754912,10043,148954516976503,-30.128198,-65.280046,"sábado, 05 de septiembre de 2026 03:17:10",En línea,Apagado,47,112718
37,Automotor,PATRULLA RURAL,Tracker X2,TW753JR,549886759584,10044,897854175873646,-31.683892,-58.271977,"lunes, 07 de septiembre de 2026 17:36:46",En línea,Encendido,63,172931
38,Automotor,CAMINERA,Tracker X1,AN958UI,549842266555,10045,641058445872742,-39.063909,-58.397165,"miércoles, 09 de septiembre de 2026 15:27:35",En línea,Apagado,98,411161
39,Automotor,PATRULLA RURAL,Starlink ER-01,CQ841OL,549345860776,10046,616305029152020,-31.69754,-62.925073,"viernes, 04 de septiembre de 2026 13:47:02",En línea,Apagado,79,216046
40,Automotor,INTERIOR,Starlink ER-01,IL975DZ,549947502238,10047,529194662959663,-32.481046,-62.437909,"sábado, 15 de agosto de 2026 19:29:46",Apagado o fuera de cobertura,Apagado,5,84876
41,Automotor,INTERIOR,Starlink ER-01,YX424LE,549063257382,10048,304854260903781,-30.919451,-61.699474,"sábado, 11 de julio de 2026 00:36:37",Apagado o fuera de cobertura,Apagado,10,197659
42,Automotor,INTERIOR,Starlink ER-01,RX247EE,549584291611,10049,502213554188684,-34.97126,-58.069389,"martes, 08 de septiembre de 2026 10:02:37",En línea,Apagado,24,144650
43,Automotor,PATRULLA RURAL,Tracker X2,CZ552CW,549858509424,10050,310538400385125,-30.973839,-66.432854,"miércoles, 09 de septiembre de 2026 16:43:57",En línea,Apagado,84,265289
44,Automotor,CAMINERA,Starlink ER-01,BX728PS,549439378215,10051,365330996095172,-30.393886,-60.666444,"lunes, 07 de septiembre de 2026 11:59:19",En línea,Apagado,81,286358
45,Automotor,CAPITAL,Starlink ER-01,SR648CP,549053347492,10052,783340507028234,-32.441774,-65.360692,"domingo, 06 de septiembre de 2026 07:55:11",En línea,Apagado,47,456764
46,Automotor,CAPITAL,Starlink ER-01,SR778AI,549875181506,8493292,995331153151556,-32.189595,-66.144091,"martes, 08 de septiembre de 2026 16:07:16",En línea,Apagado,76,169064
47,Automotor,INTERIOR,Tracker X2,VF230CE,549432810538,10055,873428220807091,-38.888604,-61.128737,"miércoles, 09 de septiembre de 2026 00:00:13",En línea,Apagado,100,261865
48,Automotor,CAMINERA,Tracker X1,CL584XD,549316912543,10056,383275888388056,-35.285385,-67.791256,"viernes, 04 de septiembre de 2026 03:37:37",En línea,Encendido,49,419210
49,Automotor,CAMINERA,Tracker X2,WI010ZE,549222519760,8654496,876057849182034,-35.502725,-61.123024,"viernes, 17 de julio de 2026 18:53:50",Apagado o fuera de cobertura,Apagado,31,156873
50,Automotor,CAPITAL,Tracker X1,QA702NR,549063556211,10058,805980874593300,-36.067782,-58.760414,"viernes, 04 de septiembre de 2026 02:29:14",En línea,Encendido,85,6021
51,Automotor,INTERIOR,Tracker X1,SA702VD,549978564610,1569750,960005244437489,-37.434887,-62.138876,"viernes, 24 de julio de 2026 18:00:56",Apagado o fuera de cobertura,Apagado,43,315886
52,Automotor,CAMINERA,Starlink ER-01,XF562BF,549966690832,10060,076736505310935,-38.255697,-60.949677,"domingo, 12 de julio de 2026 17:34:46",Apagado o fuera de cobertura,Apagado,27,419291
53,Automotor,PATRULLA RURAL,Starlink ER-01,YF597UA,549873487417,10061,063137112445852,-31.161629,-65.577539,"martes, 08 de septiembre de 2026 11:00:15",En línea,Apagado,65,12601
54,Automotor,PATRULLA RURAL,Tracker X1,BF510KG,549292520526,10062,452607763863612,-31.728302,-60.628301,"viernes, 04 de septiembre de 2026 23:02:05",En línea,Apagado,54,480354
55,Automotor,INTERIOR,Tracker X1,PA882PX,549665937390,10063,131954622096009,-32.467768,-59.684099,"miércoles, 09 de septiembre de 2026 09:26:50",En línea,Apagado,43,364881
56,Automotor,CAMINERA,Tracker X2,DL388WK,549732380247,10064,231494387753061,-38.733243,-60.627416,"lunes, 07 de septiembre de 2026 20:50:39",En línea,Encendido,89,158178
