id,codigo_sintetico,vehiculo_id,estado_transmision,fecha_alta
DEV-SYN-00001,DEV-SYN-00001,VEH-SYN-00001,Activo,2024-12-31
DEV-SYN-00002,DEV-SYN-00002,VEH-SYN-00002,Activo,2024-12-30
DEV-SYN-00003,DEV-SYN-00003,VEH-SYN-00003,Intermitente,2024-12-29
DEV-SYN-00004,DEV-SYN-00004,VEH-SYN-00004,Activo,2024-12-28
DEV-SYN-00005,DEV-SYN-00005,VEH-SYN-00005,Intermitente,2024-12-27
DEV-SYN-00006,DEV-SYN-00006,VEH-SYN-00006,Activo,2024-12-26
DEV-SYN-00007,DEV-SYN-00007,VEH-SYN-00007,Activo,2024-12-25
DEV-SYN-00008,DEV-SYN-00008,VEH-SYN-00008,Activo,2024-12-24
DEV-SYN-00009,DEV-SYN-00009,VEH-SYN-00009,Activo,2024-12-23
DEV-SYN-00010,DEV-SYN-00010,VEH-SYN-00010,Activo,2024-12-22
DEV-SYN-00011,DEV-SYN-00011,VEH-SYN-00011,Intermitente,2024-12-21
DEV-SYN-00012,DEV-SYN-00012,VEH-SYN-00012,Activo,2024-12-20
DEV-SYN-00013,DEV-SYN-00013,VEH-SYN-00013,Inactivo,2024-12-19
DEV-SYN-00014,DEV-SYN-00014,VEH-SYN-00014,Activo,2024-12-18
DEV-SYN-00015,DEV-SYN-00015,VEH-SYN-00015,Activo,2024-12-17
DEV-SYN-00016,DEV-SYN-00016,VEH-SYN-00016,Activo,2024-12-16
DEV-SYN-00017,DEV-SYN-00017,VEH-SYN-00017,Activo,2024-12-15
DEV-SYN-00018,DEV-SYN-00018,VEH-SYN-00018,Activo,2024-12-14
DEV-SYN-00019,DEV-SYN-00019,VEH-SYN-00019,Intermitente,2024-12-13
DEV-SYN-00020,DEV-SYN-00020,VEH-SYN-00020,Activo,2024-12-12
DEV-SYN-00021,DEV-SYN-00021,VEH-SYN-00021,Activo,2024-12-11
DEV-SYN-00022,DEV-SYN-00022,VEH-SYN-00022,Inactivo,2024-12-10
DEV-SYN-00023,DEV-SYN-00023,VEH-SYN-00023,Activo,2024-12-09
DEV-SYN-00024,DEV-SYN-00024,VEH-SYN-00024,Activo,2024-12-08
DEV-SYN-00025,DEV-SYN-00025,VEH-SYN-00025,Activo,2024-12-07
DEV-SYN-00026,DEV-SYN-00026,VEH-SYN-00026,Activo,2024-12-06
DEV-SYN-00027,DEV-SYN-00027,VEH-SYN-00027,Activo,2024-12-05
DEV-SYN-00028,DEV-SYN-00028,VEH-SYN-00028,Activo,2024-12-04
DEV-SYN-00029,DEV-SYN-00029,VEH-SYN-00029,Activo,2024-12-03
DEV-SYN-00030,DEV-SYN-00030,VEH-SYN-00030,Activo,2024-12-02
DEV-SYN-00031,DEV-SYN-00031,VEH-SYN-00031,Activo,2024-12-01
DEV-SYN-00032,DEV-SYN-00032,VEH-SYN-00032,Activo,2024-11-30
DEV-SYN-00033,DEV-SYN-00033,VEH-SYN-00033,Inactivo,2024-11-29
DEV-SYN-00034,DEV-SYN-00034,VEH-SYN-00034,Intermitente,2024-11-28
DEV-SYN-00035,DEV-SYN-00035,VEH-SYN-00035,Activo,2024-11-27
DEV-SYN-00036,DEV-SYN-00036,VEH-SYN-00036,Activo,2024-11-26
DEV-SYN-00037,DEV-SYN-00037,VEH-SYN-00037,Inactivo,2024-11-25
DEV-SYN-00038,DEV-SYN-00038,VEH-SYN-00038,Activo,2024-11-24
DEV-SYN-00039,DEV-SYN-00039,VEH-SYN-00039,Inactivo,2024-11-23
DEV-SYN-00040,DEV-SYN-00040,VEH-SYN-00040,Activo,2024-11-22
DEV-SYN-00041,DEV-SYN-00041,VEH-SYN-00041,Activo,2024-11-21
DEV-SYN-00042,DEV-SYN-00042,VEH-SYN-00042,Activo,2024-11-20
DEV-SYN-00043,DEV-SYN-00043,VEH-SYN-00043,Inactivo,2024-11-19
DEV-SYN-00044,DEV-SYN-00044,VEH-SYN-00044,Activo,2024-11-18
DEV-SYN-00045,DEV-SYN-00045,VEH-SYN-00045,Activo,2024-11-17
DEV-SYN-00046,DEV-SYN-00046,VEH-SYN-00046,Activo,2024-11-16
DEV-SYN-00047,DEV-SYN-00047,VEH-SYN-00047,Activo,2024-11-15
DEV-SYN-00048,DEV-SYN-00048,VEH-SYN-00048,Intermitente,2024-11-14
DEV-SYN-00049,DEV-SYN-00049,VEH-SYN-00049,Intermitente,2024-11-13
DEV-SYN-00050,DEV-SYN-00050,VEH-SYN-00050,Activo,2024-11-12
DEV-SYN-00051,DEV-SYN-00051,VEH-SYN-00051,Activo,2024-11-11
DEV-SYN-00052,DEV-SYN-00052,VEH-SYN-00052,Intermitente,2024-11-10
DEV-SYN-00053,DEV-SYN-00053,VEH-SYN-00053,Activo,2024-11-09
DEV-SYN-00054,DEV-SYN-00054,VEH-SYN-00054,Activo,2024-11-08
DEV-SYN-00055,DEV-SYN-00055,VEH-SYN-00055,Activo,2024-11-07
DEV-SYN-00056,DEV-SYN-00056,VEH-SYN-00056,Intermitente,2024-11-06
DEV-SYN-00057,DEV-SYN-00057,VEH-SYN-00057,Activo,2024-11-05
DEV-SYN-00058,DEV-SYN-00058,VEH-SYN-00058,Activo,2024-11-04
DEV-SYN-00059,DEV-SYN-00059,VEH-SYN-00059,Intermitente,2024-11-03
DEV-SYN-00060,DEV-SYN-00060,VEH-SYN-00060,Activo,2024-11-02
DEV-SYN-00061,DEV-SYN-00061,VEH-SYN-00061,Activo,2024-11-01
DEV-SYN-00062,DEV-SYN-00062,VEH-SYN-00062,Activo,2024-10-31
DEV-SYN-00063,DEV-SYN-00063,VEH-SYN-00063,Activo,2024-10-30
DEV-SYN-00064,DEV-SYN-00064,VEH-SYN-00064,Activo,2024-10-29
DEV-SYN-00065,DEV-SYN-00065,VEH-SYN-00065,Activo,2024-10-28
DEV-SYN-00066,DEV-SYN-00066,VEH-SYN-00066,Activo,2024-10-27
DEV-SYN-00067,DEV-SYN-00067,VEH-SYN-00067,Intermitente,2024-10-26
DEV-SYN-00068,DEV-SYN-00068,VEH-SYN-00068,Activo,2024-10-25
DEV-SYN-00069,DEV-SYN-00069,VEH-SYN-00069,Intermitente,2024-10-24
DEV-SYN-00070,DEV-SYN-00070,VEH-SYN-00070,Activo,2024-10-23
DEV-SYN-00071,DEV-SYN-00071,VEH-SYN-00071,Activo,2024-10-22
DEV-SYN-00072,DEV-SYN-00072,VEH-SYN-00072,Activo,2024-10-21
DEV-SYN-00073,DEV-SYN-00073,VEH-SYN-00073,Activo,2024-10-20
DEV-SYN-00074,DEV-SYN-00074,VEH-SYN-00074,Activo,2024-10-19
DEV-SYN-00075,DEV-SYN-00075,VEH-SYN-00075,Activo,2024-10-18
DEV-SYN-00076,DEV-SYN-00076,VEH-SYN-00076,Activo,2024-10-17
DEV-SYN-00077,DEV-SYN-00077,VEH-SYN-00077,Activo,2024-10-16
DEV-SYN-00078,DEV-SYN-00078,VEH-SYN-00078,Activo,2024-10-15
DEV-SYN-00079,DEV-SYN-00079,VEH-SYN-00079,Activo,2024-10-14
DEV-SYN-00080,DEV-SYN-00080,VEH-SYN-00080,Activo,2024-10-13
DEV-SYN-00081,DEV-SYN-00081,VEH-SYN-00081,Activo,2024-10-12
DEV-SYN-00082,DEV-SYN-00082,VEH-SYN-00082,Activo,2024-10-11
DEV-SYN-00083,DEV-SYN-00083,VEH-SYN-00083,Intermitente,2024-10-10
DEV-SYN-00084,DEV-SYN-00084,VEH-SYN-00084,Activo,2024-10-09
