id,dispositivo_id,instante_utc,latitud_simulada,longitud_simulada,odometro_km,horometro_h,bateria_pct
TEL-SYN-0000001,DEV-SYN-00001,2025-01-01T00:26:00+00:00,0.406379,0.549930,10004.6,500.0,54.7
TEL-SYN-0000002,DEV-SYN-00002,2025-01-01T00:52:00+00:00,0.840460,0.621531,10013.9,500.1,77.9
TEL-SYN-0000003,DEV-SYN-00003,2025-01-01T01:18:00+00:00,0.370991,0.857283,10031.8,500.2,85.9
TEL-SYN-0000004,DEV-SYN-00004,2025-01-01T01:44:00+00:00,0.369440,0.867074,10041.7,500.2,37.4
TEL-SYN-0000005,DEV-SYN-00005,2025-01-01T02:10:00+00:00,0.679426,0.418351,10057.2,500.2,39.1
TEL-SYN-0000006,DEV-SYN-00006,2025-01-01T02:36:00+00:00,0.412909,0.126430,10066.9,500.3,62.3
TEL-SYN-0000007,DEV-SYN-00007,2025-01-01T03:02:00+00:00,0.279457,0.237462,10084.6,500.4,35.6
TEL-SYN-0000008,DEV-SYN-00008,2025-01-01T03:28:00+00:00,0.674088,0.716923,10093.2,500.4,98.1
TEL-SYN-0000009,DEV-SYN-00009,2025-01-01T03:54:00+00:00,0.780852,0.829984,10110.0,500.4,47.4
TEL-SYN-0000010,DEV-SYN-00010,2025-01-01T04:20:00+00:00,0.569055,0.367375,10123.8,500.5,43.3
TEL-SYN-0000011,DEV-SYN-00011,2025-01-01T04:46:00+00:00,0.846765,0.434099,10132.9,500.6,88.5
TEL-SYN-0000012,DEV-SYN-00012,2025-01-01T05:12:00+00:00,0.373948,0.310222,10148.5,500.6,26.5
TEL-SYN-0000013,DEV-SYN-00013,2025-01-01T05:38:00+00:00,0.123512,0.639558,10159.1,500.6,86.7
TEL-SYN-0000014,DEV-SYN-00014,2025-01-01T06:04:00+00:00,0.537795,0.419718,10169.9,500.7,92.0
TEL-SYN-0000015,DEV-SYN-00015,2025-01-01T06:30:00+00:00,0.698358,0.125520,10188.6,500.8,86.4
TEL-SYN-0000016,DEV-SYN-00016,2025-01-01T06:56:00+00:00,0.838464,0.334394,10196.1,500.8,51.9
TEL-SYN-0000017,DEV-SYN-00017,2025-01-01T07:22:00+00:00,0.471847,0.874491,10215.6,500.8,72.1
TEL-SYN-0000018,DEV-SYN-00018,2025-01-01T07:48:00+00:00,0.878457,0.604176,10223.0,500.9,51.9
TEL-SYN-0000019,DEV-SYN-00019,2025-01-01T08:14:00+00:00,0.797433,0.886430,10238.0,501.0,38.6
TEL-SYN-0000020,DEV-SYN-00020,2025-01-01T08:40:00+00:00,0.808094,0.742644,10254.3,501.0,31.6
TEL-SYN-0000021,DEV-SYN-00021,2025-01-01T09:06:00+00:00,0.220044,0.787231,10265.0,501.0,86.7
TEL-SYN-0000022,DEV-SYN-00022,2025-01-01T09:32:00+00:00,0.177187,0.878056,10275.7,501.1,30.5
TEL-SYN-0000023,DEV-SYN-00023,2025-01-01T09:58:00+00:00,0.423680,0.512369,10288.8,501.2,95.9
TEL-SYN-0000024,DEV-SYN-00024,2025-01-01T10:24:00+00:00,0.808468,0.572793,10305.4,501.2,65.3
TEL-SYN-0000025,DEV-SYN-00025,2025-01-01T10:50:00+00:00,0.465586,0.286333,10313.5,501.2,69.0
TEL-SYN-0000026,DEV-SYN-00026,2025-01-01T11:16:00+00:00,0.841072,0.447327,10330.5,501.3,70.6
TEL-SYN-0000027,DEV-SYN-00027,2025-01-01T11:42:00+00:00,0.616227,0.328426,10341.6,501.4,46.5
TEL-SYN-0000028,DEV-SYN-00028,2025-01-01T12:08:00+00:00,0.732837,0.251370,10358.9,501.4,31.5
TEL-SYN-0000029,DEV-SYN-00029,2025-01-01T12:34:00+00:00,0.172396,0.288534,10364.5,501.4,80.7
TEL-SYN-0000030,DEV-SYN-00030,2025-01-01T13:00:00+00:00,0.291320,0.217641,10380.2,501.5,54.7
TEL-SYN-0000031,DEV-SYN-00031,2025-01-01T13:26:00+00:00,0.676932,0.519589,10396.8,501.6,85.2
TEL-SYN-0000032,DEV-SYN-00032,2025-01-01T13:52:00+00:00,0.124366,0.764546,10406.8,501.6,98.1
