id,periodo_id,contrato_id,importe_facturado,importe_conciliado
INV-SYN-000001,PERIOD-SYN-001,CTR-SYN-0001,352500.00,345450.00
INV-SYN-000002,PERIOD-SYN-001,CTR-SYN-0002,355000.00,347900.00
INV-SYN-000003,PERIOD-SYN-001,CTR-SYN-0003,357500.00,350350.00
INV-SYN-000004,PERIOD-SYN-001,CTR-SYN-0004,360000.00,352800.00
INV-SYN-000005,PERIOD-SYN-001,CTR-SYN-0005,362500.00,355250.00
INV-SYN-000006,PERIOD-SYN-001,CTR-SYN-0006,365000.00,357700.00
INV-SYN-000007,PERIOD-SYN-001,CTR-SYN-0007,367500.00,360150.00
INV-SYN-000008,PERIOD-SYN-001,CTR-SYN-0008,370000.00,362600.00
INV-SYN-000009,PERIOD-SYN-001,CTR-SYN-0009,372500.00,365050.00
INV-SYN-000010,PERIOD-SYN-001,CTR-SYN-0010,375000.00,367500.00
INV-SYN-000011,PERIOD-SYN-001,CTR-SYN-0011,377500.00,369950.00
INV-SYN-000012,PERIOD-SYN-001,CTR-SYN-0012,380000.00,372400.00
INV-SYN-000013,PERIOD-SYN-002,CTR-SYN-0001,364500.00,357210.00
INV-SYN-000014,PERIOD-SYN-002,CTR-SYN-0002,367000.00,359660.00
INV-SYN-000015,PERIOD-SYN-002,CTR-SYN-0003,369500.00,362110.00
INV-SYN-000016,PERIOD-SYN-002,CTR-SYN-0004,372000.00,364560.00
INV-SYN-000017,PERIOD-SYN-002,CTR-SYN-0005,374500.00,367010.00
INV-SYN-000018,PERIOD-SYN-002,CTR-SYN-0006,377000.00,369460.00
INV-SYN-000019,PERIOD-SYN-002,CTR-SYN-0007,379500.00,371910.00
INV-SYN-000020,PERIOD-SYN-002,CTR-SYN-0008,382000.00,374360.00
INV-SYN-000021,PERIOD-SYN-002,CTR-SYN-0009,384500.00,376810.00
INV-SYN-000022,PERIOD-SYN-002,CTR-SYN-0010,387000.00,379260.00
INV-SYN-000023,PERIOD-SYN-002,CTR-SYN-0011,389500.00,381710.00
INV-SYN-000024,PERIOD-SYN-002,CTR-SYN-0012,392000.00,384160.00
INV-SYN-000025,PERIOD-SYN-003,CTR-SYN-0001,376500.00,368970.00
INV-SYN-000026,PERIOD-SYN-003,CTR-SYN-0002,379000.00,371420.00
INV-SYN-000027,PERIOD-SYN-003,CTR-SYN-0003,381500.00,373870.00
INV-SYN-000028,PERIOD-SYN-003,CTR-SYN-0004,384000.00,376320.00
INV-SYN-000029,PERIOD-SYN-003,CTR-SYN-0005,386500.00,378770.00
INV-SYN-000030,PERIOD-SYN-003,CTR-SYN-0006,389000.00,381220.00
INV-SYN-000031,PERIOD-SYN-003,CTR-SYN-0007,391500.00,383670.00
INV-SYN-000032,PERIOD-SYN-003,CTR-SYN-0008,394000.00,386120.00
INV-SYN-000033,PERIOD-SYN-003,CTR-SYN-0009,396500.00,388570.00
