id,vehiculo_id,persona_id,fecha,litros_solicitados,estado
REQ-SYN-000001,VEH-SYN-00012,PER-SYN-00020,2025-01-02,16.00,Rendida
REQ-SYN-000002,VEH-SYN-00023,PER-SYN-00039,2025-01-03,17.00,Anulada
REQ-SYN-000003,VEH-SYN-00034,PER-SYN-00058,2025-01-04,18.00,Pendiente
REQ-SYN-000004,VEH-SYN-00045,PER-SYN-00077,2025-01-05,19.00,Rendida
REQ-SYN-000005,VEH-SYN-00056,PER-SYN-00096,2025-01-06,20.00,Anulada
REQ-SYN-000006,VEH-SYN-00067,PER-SYN-00115,2025-01-07,21.00,Pendiente
REQ-SYN-000007,VEH-SYN-00078,PER-SYN-00134,2025-01-08,22.00,Rendida
REQ-SYN-000008,VEH-SYN-00089,PER-SYN-00153,2025-01-09,23.00,Anulada
REQ-SYN-000009,VEH-SYN-00100,PER-SYN-00172,2025-01-10,24.00,Pendiente
REQ-SYN-000010,VEH-SYN-00111,PER-SYN-00191,2025-01-11,25.00,Rendida
REQ-SYN-000011,VEH-SYN-00122,PER-SYN-00210,2025-01-12,26.00,Anulada
REQ-SYN-000012,VEH-SYN-00133,PER-SYN-00229,2025-01-13,27.00,Pendiente
REQ-SYN-000013,VEH-SYN-00144,PER-SYN-00248,2025-01-14,28.00,Rendida
REQ-SYN-000014,VEH-SYN-00155,PER-SYN-00267,2025-01-15,29.00,Anulada
REQ-SYN-000015,VEH-SYN-00166,PER-SYN-00286,2025-01-16,30.00,Pendiente
REQ-SYN-000016,VEH-SYN-00177,PER-SYN-00305,2025-01-17,31.00,Rendida
REQ-SYN-000017,VEH-SYN-00188,PER-SYN-00324,2025-01-18,32.00,Anulada
REQ-SYN-000018,VEH-SYN-00199,PER-SYN-00343,2025-01-19,33.00,Pendiente
REQ-SYN-000019,VEH-SYN-00210,PER-SYN-00362,2025-01-20,34.00,Rendida
REQ-SYN-000020,VEH-SYN-00221,PER-SYN-00381,2025-01-21,35.00,Anulada
REQ-SYN-000021,VEH-SYN-00232,PER-SYN-00400,2025-01-22,36.00,Pendiente
REQ-SYN-000022,VEH-SYN-00243,PER-SYN-00419,2025-01-23,37.00,Rendida
REQ-SYN-000023,VEH-SYN-00004,PER-SYN-00438,2025-01-24,38.00,Anulada
REQ-SYN-000024,VEH-SYN-00015,PER-SYN-00457,2025-01-25,39.00,Pendiente
REQ-SYN-000025,VEH-SYN-00026,PER-SYN-00476,2025-01-26,40.00,Rendida
REQ-SYN-000026,VEH-SYN-00037,PER-SYN-00495,2025-01-27,41.00,Anulada
REQ-SYN-000027,VEH-SYN-00048,PER-SYN-00014,2025-01-28,42.00,Pendiente
REQ-SYN-000028,VEH-SYN-00059,PER-SYN-00033,2025-01-29,43.00,Rendida
REQ-SYN-000029,VEH-SYN-00070,PER-SYN-00052,2025-01-30,44.00,Anulada
REQ-SYN-000030,VEH-SYN-00081,PER-SYN-00071,2025-01-31,45.00,Pendiente
REQ-SYN-000031,VEH-SYN-00092,PER-SYN-00090,2025-02-01,46.00,Rendida
REQ-SYN-000032,VEH-SYN-00103,PER-SYN-00109,2025-02-02,47.00,Anulada
REQ-SYN-000033,VEH-SYN-00114,PER-SYN-00128,2025-02-03,48.00,Pendiente
REQ-SYN-000034,VEH-SYN-00125,PER-SYN-00147,2025-02-04,49.00,Rendida
REQ-SYN-000035,VEH-SYN-00136,PER-SYN-00166,2025-02-05,15.00,Anulada
REQ-SYN-000036,VEH-SYN-00147,PER-SYN-00185,2025-02-06,16.00,Pendiente
REQ-SYN-000037,VEH-SYN-00158,PER-SYN-00204,2025-02-07,17.00,Rendida
REQ-SYN-000038,VEH-SYN-00169,PER-SYN-00223,2025-02-08,18.00,Anulada
REQ-SYN-000039,VEH-SYN-00180,PER-SYN-00242,2025-02-09,19.00,Pendiente
