id,codigo_sintetico,contrato_id,vehiculo_id,estado
CARD-SYN-00001,CARD-SYN-00001,CTR-SYN-0001,VEH-SYN-00001,Activa
CARD-SYN-00002,CARD-SYN-00002,CTR-SYN-0002,VEH-SYN-00002,Activa
CARD-SYN-00003,CARD-SYN-00003,CTR-SYN-0003,VEH-SYN-00003,Activa
CARD-SYN-00004,CARD-SYN-00004,CTR-SYN-0004,VEH-SYN-00004,Activa
CARD-SYN-00005,CARD-SYN-00005,CTR-SYN-0005,VEH-SYN-00005,Activa
CARD-SYN-00006,CARD-SYN-00006,CTR-SYN-0006,VEH-SYN-00006,Activa
CARD-SYN-00007,CARD-SYN-00007,CTR-SYN-0007,VEH-SYN-00007,Activa
CARD-SYN-00008,CARD-SYN-00008,CTR-SYN-0008,VEH-SYN-00008,Activa
CARD-SYN-00009,CARD-SYN-00009,CTR-SYN-0009,VEH-SYN-00009,Activa
CARD-SYN-00010,CARD-SYN-00010,CTR-SYN-0010,VEH-SYN-00010,Activa
CARD-SYN-00011,CARD-SYN-00011,CTR-SYN-0011,VEH-SYN-00011,Activa
CARD-SYN-00012,CARD-SYN-00012,CTR-SYN-0012,VEH-SYN-00012,Activa
CARD-SYN-00013,CARD-SYN-00013,CTR-SYN-0001,VEH-SYN-00013,Activa
CARD-SYN-00014,CARD-SYN-00014,CTR-SYN-0002,VEH-SYN-00014,Activa
CARD-SYN-00015,CARD-SYN-00015,CTR-SYN-0003,VEH-SYN-00015,Activa
CARD-SYN-00016,CARD-SYN-00016,CTR-SYN-0004,VEH-SYN-00016,Activa
CARD-SYN-00017,CARD-SYN-00017,CTR-SYN-0005,VEH-SYN-00017,Activa
CARD-SYN-00018,CARD-SYN-00018,CTR-SYN-0006,VEH-SYN-00018,Activa
CARD-SYN-00019,CARD-SYN-00019,CTR-SYN-0007,VEH-SYN-00019,Activa
CARD-SYN-00020,CARD-SYN-00020,CTR-SYN-0008,VEH-SYN-00020,Suspendida
CARD-SYN-00021,CARD-SYN-00021,CTR-SYN-0009,VEH-SYN-00021,Activa
CARD-SYN-00022,CARD-SYN-00022,CTR-SYN-0010,VEH-SYN-00022,Activa
CARD-SYN-00023,CARD-SYN-00023,CTR-SYN-0011,VEH-SYN-00023,Activa
CARD-SYN-00024,CARD-SYN-00024,CTR-SYN-0012,VEH-SYN-00024,Activa
CARD-SYN-00025,CARD-SYN-00025,CTR-SYN-0001,VEH-SYN-00025,Activa
CARD-SYN-00026,CARD-SYN-00026,CTR-SYN-0002,VEH-SYN-00026,Activa
CARD-SYN-00027,CARD-SYN-00027,CTR-SYN-0003,VEH-SYN-00027,Activa
CARD-SYN-00028,CARD-SYN-00028,CTR-SYN-0004,VEH-SYN-00028,Activa
CARD-SYN-00029,CARD-SYN-00029,CTR-SYN-0005,VEH-SYN-00029,Activa
CARD-SYN-00030,CARD-SYN-00030,CTR-SYN-0006,VEH-SYN-00030,Activa
CARD-SYN-00031,CARD-SYN-00031,CTR-SYN-0007,VEH-SYN-00031,Activa
CARD-SYN-00032,CARD-SYN-00032,CTR-SYN-0008,VEH-SYN-00032,Activa
CARD-SYN-00033,CARD-SYN-00033,CTR-SYN-0009,VEH-SYN-00033,Activa
CARD-SYN-00034,CARD-SYN-00034,CTR-SYN-0010,VEH-SYN-00034,Activa
CARD-SYN-00035,CARD-SYN-00035,CTR-SYN-0011,VEH-SYN-00035,Activa
CARD-SYN-00036,CARD-SYN-00036,CTR-SYN-0012,VEH-SYN-00036,Activa
CARD-SYN-00037,CARD-SYN-00037,CTR-SYN-0001,VEH-SYN-00037,Activa
CARD-SYN-00038,CARD-SYN-00038,CTR-SYN-0002,VEH-SYN-00038,Activa
CARD-SYN-00039,CARD-SYN-00039,CTR-SYN-0003,VEH-SYN-00039,Activa
CARD-SYN-00040,CARD-SYN-00040,CTR-SYN-0004,VEH-SYN-00040,Suspendida
CARD-SYN-00041,CARD-SYN-00041,CTR-SYN-0005,VEH-SYN-00041,Activa
CARD-SYN-00042,CARD-SYN-00042,CTR-SYN-0006,VEH-SYN-00042,Activa
CARD-SYN-00043,CARD-SYN-00043,CTR-SYN-0007,VEH-SYN-00043,Activa
CARD-SYN-00044,CARD-SYN-00044,CTR-SYN-0008,VEH-SYN-00044,Activa
CARD-SYN-00045,CARD-SYN-00045,CTR-SYN-0009,VEH-SYN-00045,Activa
CARD-SYN-00046,CARD-SYN-00046,CTR-SYN-0010,VEH-SYN-00046,Activa
CARD-SYN-00047,CARD-SYN-00047,CTR-SYN-0011,VEH-SYN-00047,Activa
CARD-SYN-00048,CARD-SYN-00048,CTR-SYN-0012,VEH-SYN-00048,Activa
CARD-SYN-00049,CARD-SYN-00049,CTR-SYN-0001,VEH-SYN-00049,Activa
CARD-SYN-00050,CARD-SYN-00050,CTR-SYN-0002,VEH-SYN-00050,Activa
CARD-SYN-00051,CARD-SYN-00051,CTR-SYN-0003,VEH-SYN-00051,Activa
CARD-SYN-00052,CARD-SYN-00052,CTR-SYN-0004,VEH-SYN-00052,Activa
CARD-SYN-00053,CARD-SYN-00053,CTR-SYN-0005,VEH-SYN-00053,Activa
CARD-SYN-00054,CARD-SYN-00054,CTR-SYN-0006,VEH-SYN-00054,Activa
CARD-SYN-00055,CARD-SYN-00055,CTR-SYN-0007,VEH-SYN-00055,Activa
CARD-SYN-00056,CARD-SYN-00056,CTR-SYN-0008,VEH-SYN-00056,Activa
CARD-SYN-00057,CARD-SYN-00057,CTR-SYN-0009,VEH-SYN-00057,Activa
CARD-SYN-00058,CARD-SYN-00058,CTR-SYN-0010,VEH-SYN-00058,Activa
CARD-SYN-00059,CARD-SYN-00059,CTR-SYN-0011,VEH-SYN-00059,Activa
CARD-SYN-00060,CARD-SYN-00060,CTR-SYN-0012,VEH-SYN-00060,Suspendida
CARD-SYN-00061,CARD-SYN-00061,CTR-SYN-0001,VEH-SYN-00061,Activa
CARD-SYN-00062,CARD-SYN-00062,CTR-SYN-0002,VEH-SYN-00062,Activa
CARD-SYN-00063,CARD-SYN-00063,CTR-SYN-0003,VEH-SYN-00063,Activa
CARD-SYN-00064,CARD-SYN-00064,CTR-SYN-0004,VEH-SYN-00064,Activa
CARD-SYN-00065,CARD-SYN-00065,CTR-SYN-0005,VEH-SYN-00065,Activa
CARD-SYN-00066,CARD-SYN-00066,CTR-SYN-0006,VEH-SYN-00066,Activa
CARD-SYN-00067,CARD-SYN-00067,CTR-SYN-0007,VEH-SYN-00067,Activa
CARD-SYN-00068,CARD-SYN-00068,CTR-SYN-0008,VEH-SYN-00068,Activa
CARD-SYN-00069,CARD-SYN-00069,CTR-SYN-0009,VEH-SYN-00069,Activa
CARD-SYN-00070,CARD-SYN-00070,CTR-SYN-0010,VEH-SYN-00070,Activa
CARD-SYN-00071,CARD-SYN-00071,CTR-SYN-0011,VEH-SYN-00071,Activa
CARD-SYN-00072,CARD-SYN-00072,CTR-SYN-0012,VEH-SYN-00072,Activa
CARD-SYN-00073,CARD-SYN-00073,CTR-SYN-0001,VEH-SYN-00073,Activa
CARD-SYN-00074,CARD-SYN-00074,CTR-SYN-0002,VEH-SYN-00074,Activa
CARD-SYN-00075,CARD-SYN-00075,CTR-SYN-0003,VEH-SYN-00075,Activa
CARD-SYN-00076,CARD-SYN-00076,CTR-SYN-0004,VEH-SYN-00076,Activa
CARD-SYN-00077,CARD-SYN-00077,CTR-SYN-0005,VEH-SYN-00077,Activa
CARD-SYN-00078,CARD-SYN-00078,CTR-SYN-0006,VEH-SYN-00078,Activa
CARD-SYN-00079,CARD-SYN-00079,CTR-SYN-0007,VEH-SYN-00079,Activa
CARD-SYN-00080,CARD-SYN-00080,CTR-SYN-0008,VEH-SYN-00080,Suspendida
CARD-SYN-00081,CARD-SYN-00081,CTR-SYN-0009,VEH-SYN-00081,Activa
CARD-SYN-00082,CARD-SYN-00082,CTR-SYN-0010,VEH-SYN-00082,Activa
CARD-SYN-00083,CARD-SYN-00083,CTR-SYN-0011,VEH-SYN-00083,Activa
CARD-SYN-00084,CARD-SYN-00084,CTR-SYN-0012,VEH-SYN-00084,Activa
CARD-SYN-00085,CARD-SYN-00085,CTR-SYN-0001,VEH-SYN-00085,Activa
CARD-SYN-00086,CARD-SYN-00086,CTR-SYN-0002,VEH-SYN-00086,Activa
CARD-SYN-00087,CARD-SYN-00087,CTR-SYN-0003,VEH-SYN-00087,Activa
CARD-SYN-00088,CARD-SYN-00088,CTR-SYN-0004,VEH-SYN-00088,Activa
CARD-SYN-00089,CARD-SYN-00089,CTR-SYN-0005,VEH-SYN-00089,Activa
CARD-SYN-00090,CARD-SYN-00090,CTR-SYN-0006,VEH-SYN-00090,Activa
CARD-SYN-00091,CARD-SYN-00091,CTR-SYN-0007,VEH-SYN-00091,Activa
CARD-SYN-00092,CARD-SYN-00092,CTR-SYN-0008,VEH-SYN-00092,Activa
CARD-SYN-00093,CARD-SYN-00093,CTR-SYN-0009,VEH-SYN-00093,Activa
CARD-SYN-00094,CARD-SYN-00094,CTR-SYN-0010,VEH-SYN-00094,Activa
